dt,portfolio_id,nav
2018-12-31,a000Y000019ZliRQAS,94227.5
2018-12-30,a000Y000019ZliRQAS,93784.56
2018-12-29,a000Y000019ZliRQAS,93784.56
2018-12-28,a000Y000019ZliRQAS,93822.38
2018-12-27,a000Y000019ZliRQAS,93307.82
2018-12-26,a000Y000019ZliRQAS,91832.51
2018-12-25,a000Y000019ZliRQAS,91986.77
2018-12-24,a000Y000019ZliRQAS,92127.18
2018-12-23,a000Y000019ZliRQAS,93268.54
2018-12-22,a000Y000019ZliRQAS,93268.54
2018-12-21,a000Y000019ZliRQAS,92940.68
2018-12-20,a000Y000019ZliRQAS,93949.19
2018-12-19,a000Y000019ZliRQAS,95540.96
2018-12-18,a000Y000019ZliRQAS,95912.89
2018-12-17,a000Y000019ZliRQAS,96624.71
2018-12-16,a000Y000019ZliRQAS,97503.76
2018-12-15,a000Y000019ZliRQAS,97503.76
2018-12-14,a000Y000019ZliRQAS,97248.46
2018-12-13,a000Y000019ZliRQAS,98226.95
2018-12-12,a000Y000019ZliRQAS,98654.29
2018-12-11,a000Y000019ZliRQAS,97474.59
2018-12-10,a000Y000019ZliRQAS,96795.25
2018-12-09,a000Y000019ZliRQAS,97904.58
2018-12-08,a000Y000019ZliRQAS,97904.58
2018-12-07,a000Y000019ZliRQAS,97903.09
2018-12-06,a000Y000019ZliRQAS,98399.38
2018-12-05,a000Y000019ZliRQAS,99930.08
2018-12-04,a000Y000019ZliRQAS,100471.75
2018-12-03,a000Y000019ZliRQAS,101954.08
2018-12-02,a000Y000019ZliRQAS,100809.61
2018-12-01,a000Y000019ZliRQAS,100809.61
2018-11-30,a000Y000019ZliRQAS,100428.2
2018-11-29,a000Y000019ZliRQAS,100416.7
2018-11-28,a000Y000019ZliRQAS,100647.35
2018-11-27,a000Y000019ZliRQAS,99391.87
2018-11-26,a000Y000019ZliRQAS,99218.34
2018-11-25,a000Y000019ZliRQAS,98479.24
2018-11-24,a000Y000019ZliRQAS,98479.24
2018-11-23,a000Y000019ZliRQAS,98163.39
2018-11-22,a000Y000019ZliRQAS,98358.0
2018-11-21,a000Y000019ZliRQAS,98676.7
2018-11-20,a000Y000019ZliRQAS,97809.05
2018-11-19,a000Y000019ZliRQAS,99359.3
2018-11-18,a000Y000019ZliRQAS,100070.07
2018-11-17,a000Y000019ZliRQAS,100070.07
2018-11-16,a000Y000019ZliRQAS,100525.49
2018-11-15,a000Y000019ZliRQAS,100632.85
2018-11-14,a000Y000019ZliRQAS,100444.91
2018-11-13,a000Y000019ZliRQAS,101358.73
2018-11-12,a000Y000019ZliRQAS,101042.87
2018-11-11,a000Y000019ZliRQAS,101788.17
2018-11-10,a000Y000019ZliRQAS,101788.17
2018-11-09,a000Y000019ZliRQAS,101657.53
2018-11-08,a000Y000019ZliRQAS,102077.85
